nom,region,departement,email,groupe,circonscription
M. Idir Boumertit,Auvergne-Rhône-Alpes,Rhône,idir.boumertit@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Rhône (14e circonscription)
M. Jean-François Coulomme,Auvergne-Rhône-Alpes,Savoie,jean-francois.coulomme@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Savoie (4e circonscription)
M. Jean-Luc Fugit,Auvergne-Rhône-Alpes,Rhône,Jean-Luc.Fugit@assemblee-nationale.fr,Ensemble pour la République,Rhône (11e circonscription)
M. Jean-Pierre Vigier,Auvergne-Rhône-Alpes,Haute-Loire,Jean-Pierre.Vigier@assemblee-nationale.fr,Droite Républicaine,Haute-Loire (2e circonscription)
M. Jean-Yves Bonnefoy,Auvergne-Rhône-Alpes,Loire,jean-yves.bonnefoy@assemblee-nationale.fr,Droite Républicaine,Loire (6e circonscription)
M. Jean-Yves Bony,Auvergne-Rhône-Alpes,Cantal,Jean-Yves.Bony@assemblee-nationale.fr,Droite Républicaine,Cantal (2e circonscription)
M. Jonathan Gery,Auvergne-Rhône-Alpes,Rhône,jonathan.gery@assemblee-nationale.fr,Rassemblement National,Rhône (8e circonscription)
M. Jorys Bovet,Auvergne-Rhône-Alpes,Allier,jorys.bovet@assemblee-nationale.fr,Rassemblement National,Allier (2e circonscription)
M. Julien Brugerolles,Auvergne-Rhône-Alpes,Puy-de-Dôme,julien.brugerolles@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Puy-de-Dôme (5e circonscription)
M. Jérémie Iordanoff,Auvergne-Rhône-Alpes,Isère,jeremie.iordanoff@assemblee-nationale.fr,Écologiste et Social,Isère (5e circonscription)
M. Jérôme Buisson,Auvergne-Rhône-Alpes,Ain,jerome.buisson@assemblee-nationale.fr,Rassemblement National,Ain (4e circonscription)
M. Laurent Wauquiez,Auvergne-Rhône-Alpes,Haute-Loire,laurent.wauquiez@assemblee-nationale.fr,Droite Républicaine,Haute-Loire (1re circonscription)
M. Marc Chavent,Auvergne-Rhône-Alpes,Ain,marc.chavent@assemblee-nationale.fr,Union des droites pour la République,Ain (5e circonscription)
M. Nicolas Bonnet,Auvergne-Rhône-Alpes,Puy-de-Dôme,nicolas.bonnet@assemblee-nationale.fr,Écologiste et Social,Puy-de-Dôme (3e circonscription)
M. Nicolas Ray,Auvergne-Rhône-Alpes,Allier,nicolas.ray@assemblee-nationale.fr,Droite Républicaine,Allier (3e circonscription)
M. Paul Christophle,Auvergne-Rhône-Alpes,Drôme,paul.christophle@assemblee-nationale.fr,Socialistes et apparentés,Drôme (1re circonscription)
M. Pierrick Courbon,Auvergne-Rhône-Alpes,Loire,pierrick.courbon@assemblee-nationale.fr,Socialistes et apparentés,Loire (1re circonscription)
M. Romain Daubié,Auvergne-Rhône-Alpes,Ain,romain.daubie@assemblee-nationale.fr,Les Démocrates,Ain (2e circonscription)
M. Thibaut Monnier,Auvergne-Rhône-Alpes,Drôme,thibaut.monnier@assemblee-nationale.fr,Rassemblement National,Drôme (4e circonscription)
M. Thierry Perez,Auvergne-Rhône-Alpes,Isère,thierry.perez@assemblee-nationale.fr,Rassemblement National,Isère (10e circonscription)
M. Thomas Gassilloud,Auvergne-Rhône-Alpes,Rhône,Thomas.Gassilloud@assemblee-nationale.fr,Ensemble pour la République,Rhône (10e circonscription)
M. Vincent Descoeur,Auvergne-Rhône-Alpes,Cantal,Vincent.Descoeur@assemblee-nationale.fr,Droite Républicaine,Cantal (1re circonscription)
M. Vincent Rolland,Auvergne-Rhône-Alpes,Savoie,Vincent.Rolland@assemblee-nationale.fr,Droite Républicaine,Savoie (2e circonscription)
M. Vincent Trébuchet,Auvergne-Rhône-Alpes,Ardèche,vincent.trebuchet@assemblee-nationale.fr,Union des droites pour la République,Ardèche (2e circonscription)
M. Xavier Breton,Auvergne-Rhône-Alpes,Ain,Xavier.Breton@assemblee-nationale.fr,Droite Républicaine,Ain (1re circonscription)
M. Xavier Roseren,Auvergne-Rhône-Alpes,Haute-Savoie,Xavier.Roseren@assemblee-nationale.fr,Horizons & Indépendants,Haute-Savoie (6e circonscription)
M. Yannick Monnet,Auvergne-Rhône-Alpes,Allier,yannick.monnet@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Allier (1re circonscription)
M. Yannick Neuder,Auvergne-Rhône-Alpes,Isère,yannick.neuder@assemblee-nationale.fr,Droite Républicaine,Isère (7e circonscription)
Mme Anaïs Belouassa-Cherifi,Auvergne-Rhône-Alpes,Rhône,anais.belouassa@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Rhône (1re circonscription)
Mme Andrée Taurinya,Auvergne-Rhône-Alpes,Loire,andree.taurinya@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Loire (2e circonscription)
Mme Anne-Cécile Violland,Auvergne-Rhône-Alpes,Haute-Savoie,anne-cecile.violland@assemblee-nationale.fr,Horizons & Indépendants,Haute-Savoie (5e circonscription)
Mme Blandine Brocard,Auvergne-Rhône-Alpes,Rhône,Blandine.Brocard@assemblee-nationale.fr,Les Démocrates,Rhône (5e circonscription)
Mme Christine Pirès Beaune,Auvergne-Rhône-Alpes,Puy-de-Dôme,Christine.PiresBeaune@assemblee-nationale.fr,Socialistes et apparentés,Puy-de-Dôme (2e circonscription)
Mme Cyrielle Chatelain,Auvergne-Rhône-Alpes,Isère,cyrielle.chatelain@assemblee-nationale.fr,Écologiste et Social,Isère (2e circonscription)
Mme Danièle Carteron,Auvergne-Rhône-Alpes,Haute-Savoie,daniele.carteron@assemblee-nationale.fr,Ensemble pour la République,Haute-Savoie (2e circonscription)
Mme Delphine Lingemann,Auvergne-Rhône-Alpes,Puy-de-Dôme,delphine.lingemann@assemblee-nationale.fr,Les Démocrates,Puy-de-Dôme (4e circonscription)
Mme Hanane Mansouri,Auvergne-Rhône-Alpes,Isère,hanane.mansouri@assemblee-nationale.fr,Union des droites pour la République,Isère (8e circonscription)
Mme Lisette Pollet,Auvergne-Rhône-Alpes,Drôme,lisette.pollet@assemblee-nationale.fr,Rassemblement National,Drôme (2e circonscription)
Mme Marianne Maximi,Auvergne-Rhône-Alpes,Puy-de-Dôme,marianne.maximi@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Puy-de-Dôme (1re circonscription)
Mme Marie Pochon,Auvergne-Rhône-Alpes,Drôme,marie.pochon@assemblee-nationale.fr,Écologiste et Social,Drôme (3e circonscription)
Mme Marie-Charlotte Garin,Auvergne-Rhône-Alpes,Rhône,marie-charlotte.garin@assemblee-nationale.fr,Écologiste et Social,Rhône (3e circonscription)
Mme Marie-Noëlle Battistel,Auvergne-Rhône-Alpes,Isère,Marie-Noelle.Battistel@assemblee-nationale.fr,Socialistes et apparentés,Isère (4e circonscription)
Mme Olga Givernet,Auvergne-Rhône-Alpes,Ain,Olga.Givernet@assemblee-nationale.fr,Ensemble pour la République,Ain (3e circonscription)
Mme Sandrine Nosbé,Auvergne-Rhône-Alpes,Isère,sandrine.nosbe@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Isère (9e circonscription)
Mme Sandrine Runel,Auvergne-Rhône-Alpes,Rhône,sandrine.runel@assemblee-nationale.fr,Socialistes et apparentés,Rhône (4e circonscription)
Mme Sylvie Bonnet,Auvergne-Rhône-Alpes,Loire,sylvie.bonnet@assemblee-nationale.fr,Droite Républicaine,Loire (4e circonscription)
Mme Tiffany Joncour,Auvergne-Rhône-Alpes,Rhône,tiffany.joncour@assemblee-nationale.fr,Rassemblement National,Rhône (13e circonscription)
Mme Virginie Duby-Muller,Auvergne-Rhône-Alpes,Haute-Savoie,Virginie.Duby-Muller@assemblee-nationale.fr,Droite Républicaine,Haute-Savoie (4e circonscription)
Mme Véronique Riotton,Auvergne-Rhône-Alpes,Haute-Savoie,Veronique.Riotton@assemblee-nationale.fr,Ensemble pour la République,Haute-Savoie (1re circonscription)
Mme Élisa Martin,Auvergne-Rhône-Alpes,Isère,elisa.martin@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Isère (3e circonscription)
Mme Émilie Bonnivard,Auvergne-Rhône-Alpes,Savoie,Emilie.Bonnivard@assemblee-nationale.fr,Droite Républicaine,Savoie (3e circonscription)
M. Antoine Villedieu,Bourgogne-Franche-Comté,Haute-Saône,antoine.villedieu@assemblee-nationale.fr,Rassemblement National,Haute-Saône (1re circonscription)
M. Aurélien Dutremble,Bourgogne-Franche-Comté,Saône-et-Loire,aurelien.dutremble@assemblee-nationale.fr,Rassemblement National,Saône-et-Loire (3e circonscription)
M. Benjamin Dirx,Bourgogne-Franche-Comté,Saône-et-Loire,Benjamin.Dirx@assemblee-nationale.fr,Ensemble pour la République,Saône-et-Loire (1re circonscription)
M. Daniel Grenon,Bourgogne-Franche-Comté,Yonne,daniel.grenon@assemblee-nationale.fr,Non inscrit,Yonne (1re circonscription)
M. Emeric Salmon,Bourgogne-Franche-Comté,Haute-Saône,emeric.salmon@assemblee-nationale.fr,Rassemblement National,Haute-Saône (2e circonscription)
M. Eric Liégeon,Bourgogne-Franche-Comté,Doubs,eric.liegeon@assemblee-nationale.fr,Droite Républicaine,Doubs (5e circonscription)
M. Guillaume Bigot,Bourgogne-Franche-Comté,Territoire de Belfort,guillaume.bigot@assemblee-nationale.fr,Rassemblement National,Territoire de Belfort (2e circonscription)
M. Hubert Brigand,Bourgogne-Franche-Comté,Côte-d'Or,hubert.brigand@assemblee-nationale.fr,Droite Républicaine,Côte-d'Or (4e circonscription)
M. Ian Boucard,Bourgogne-Franche-Comté,Territoire de Belfort,Ian.Boucard@assemblee-nationale.fr,Droite Républicaine,Territoire de Belfort (1re circonscription)
M. Julien Guibert,Bourgogne-Franche-Comté,Nièvre,julien.guibert@assemblee-nationale.fr,Rassemblement National,Nièvre (2e circonscription)
M. Julien Odoul,Bourgogne-Franche-Comté,Yonne,julien.odoul@assemblee-nationale.fr,Rassemblement National,Yonne (3e circonscription)
M. Laurent Croizier,Bourgogne-Franche-Comté,Doubs,laurent.croizier@assemblee-nationale.fr,Les Démocrates,Doubs (1re circonscription)
M. Lionel Duparay,Bourgogne-Franche-Comté,Saône-et-Loire,lionel.duparay@assemblee-nationale.fr,Droite Républicaine,Saône-et-Loire (5e circonscription)
M. Matthieu Bloch,Bourgogne-Franche-Comté,Doubs,matthieu.bloch@assemblee-nationale.fr,Union des droites pour la République,Doubs (3e circonscription)
M. Pierre Pribetich,Bourgogne-Franche-Comté,Côte-d'Or,pierre.pribetich@assemblee-nationale.fr,Socialistes et apparentés,Côte-d'Or (3e circonscription)
M. René Lioret,Bourgogne-Franche-Comté,Côte-d'Or,rene.lioret@assemblee-nationale.fr,Rassemblement National,Côte-d'Or (5e circonscription)
M. Éric Michoux,Bourgogne-Franche-Comté,Saône-et-Loire,eric.michoux@assemblee-nationale.fr,Union des droites pour la République,Saône-et-Loire (4e circonscription)
Mme Catherine Hervieu,Bourgogne-Franche-Comté,Côte-d'Or,catherine.hervieu@assemblee-nationale.fr,Écologiste et Social,Côte-d'Or (2e circonscription)
Mme Danielle Brulebois,Bourgogne-Franche-Comté,Jura,Danielle.Brulebois@assemblee-nationale.fr,Ensemble pour la République,Jura (1re circonscription)
Mme Dominique Voynet,Bourgogne-Franche-Comté,Doubs,dominique.voynet@assemblee-nationale.fr,Écologiste et Social,Doubs (2e circonscription)
Mme Géraldine Grangier,Bourgogne-Franche-Comté,Doubs,geraldine.grangier@assemblee-nationale.fr,Rassemblement National,Doubs (4e circonscription)
Mme Josiane Corneloup,Bourgogne-Franche-Comté,Saône-et-Loire,Josiane.Corneloup@assemblee-nationale.fr,Droite Républicaine,Saône-et-Loire (2e circonscription)
Mme Justine Gruet,Bourgogne-Franche-Comté,Jura,justine.gruet@assemblee-nationale.fr,Droite Républicaine,Jura (3e circonscription)
Mme Marie-Christine Dalloz,Bourgogne-Franche-Comté,Jura,Marie-Christine.Dalloz@assemblee-nationale.fr,Droite Républicaine,Jura (2e circonscription)
Mme Océane Godard,Bourgogne-Franche-Comté,Côte-d'Or,oceane.godard@assemblee-nationale.fr,Socialistes et apparentés,Côte-d'Or (1re circonscription)
Mme Perrine Goulet,Bourgogne-Franche-Comté,Nièvre,Perrine.Goulet@assemblee-nationale.fr,Les Démocrates,Nièvre (1re circonscription)
Mme Sophie-Laurence Roy,Bourgogne-Franche-Comté,Yonne,sophie-laurence.roy@assemblee-nationale.fr,Rassemblement National,Yonne (2e circonscription)
M. Corentin Le Fur,Bretagne,Côtes-d'Armor,corentin.lefur@assemblee-nationale.fr,Droite Républicaine,Côtes-d'Armor (3e circonscription)
M. Damien Girard,Bretagne,Morbihan,damien.girard@assemblee-nationale.fr,Écologiste et Social,Morbihan (5e circonscription)
M. Didier Le Gac,Bretagne,Finistère,Didier.LeGac@assemblee-nationale.fr,Ensemble pour la République,Finistère (3e circonscription)
M. Erwan Balanant,Bretagne,Finistère,Erwan.Balanant@assemblee-nationale.fr,Les Démocrates,Finistère (8e circonscription)
M. Jean-Luc Bourgeaux,Bretagne,Ille-et-Vilaine,jean-luc.bourgeaux@assemblee-nationale.fr,Droite Républicaine,Ille-et-Vilaine (7e circonscription)
M. Jean-Michel Jacques,Bretagne,Morbihan,Jean-Michel.Jacques@assemblee-nationale.fr,Ensemble pour la République,Morbihan (6e circonscription)
M. Jimmy Pahun,Bretagne,Morbihan,Jimmy.Pahun@assemblee-nationale.fr,Les Démocrates,Morbihan (2e circonscription)
M. Michel Criaud,Bretagne,Morbihan,michel.criaud@assemblee-nationale.fr,Horizons & Indépendants,Morbihan (1re circonscription)
M. Mickaël Bouloux,Bretagne,Ille-et-Vilaine,mickael.bouloux@assemblee-nationale.fr,Socialistes et apparentés,Ille-et-Vilaine (8e circonscription)
M. Mickaël Cosson,Bretagne,Côtes-d'Armor,mickael.cosson@assemblee-nationale.fr,Les Démocrates,Côtes-d'Armor (1re circonscription)
M. Paul Molac,Bretagne,Morbihan,Paul.Molac@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Morbihan (4e circonscription)
M. Pierre-Yves Cadalen,Bretagne,Finistère,pierre-yves.cadalen@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Finistère (2e circonscription)
M. Thierry Benoit,Bretagne,Ille-et-Vilaine,Thierry.Benoit@assemblee-nationale.fr,Horizons & Indépendants,Ille-et-Vilaine (6e circonscription)
M. Tristan Lahais,Bretagne,Ille-et-Vilaine,tristan.lahais@assemblee-nationale.fr,Écologiste et Social,Ille-et-Vilaine (2e circonscription)
M. Éric Bothorel,Bretagne,Côtes-d'Armor,Eric.Bothorel@assemblee-nationale.fr,Ensemble pour la République,Côtes-d'Armor (5e circonscription)
Mme Annaïg Le Meur,Bretagne,Finistère,Annaig.LeMeur@assemblee-nationale.fr,Ensemble pour la République,Finistère (1re circonscription)
Mme Chantal Bouloux,Bretagne,Côtes-d'Armor,chantal.bouloux@assemblee-nationale.fr,Ensemble pour la République,Côtes-d'Armor (2e circonscription)
Mme Christine Le Nabour,Bretagne,Ille-et-Vilaine,Christine.lenabour@assemblee-nationale.fr,Horizons & Indépendants,Ille-et-Vilaine (5e circonscription)
Mme Claudia Rouaux,Bretagne,Ille-et-Vilaine,claudia.rouaux@assemblee-nationale.fr,Socialistes et apparentés,Ille-et-Vilaine (3e circonscription)
Mme Graziella Melchior,Bretagne,Finistère,Graziella.Melchior@assemblee-nationale.fr,Ensemble pour la République,Finistère (5e circonscription)
Mme Liliana Tanguy,Bretagne,Finistère,Liliana.Tanguy@assemblee-nationale.fr,Ensemble pour la République,Finistère (7e circonscription)
Mme Marie Mesmeur,Bretagne,Ille-et-Vilaine,marie.mesmeur@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Ille-et-Vilaine (1re circonscription)
Mme Mathilde Hignet,Bretagne,Ille-et-Vilaine,mathilde.hignet@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Ille-et-Vilaine (4e circonscription)
Mme Murielle Lepvraud,Bretagne,Côtes-d'Armor,murielle.lepvraud@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Côtes-d'Armor (4e circonscription)
Mme Mélanie Thomin,Bretagne,Finistère,melanie.thomin@assemblee-nationale.fr,Socialistes et apparentés,Finistère (6e circonscription)
Mme Nicole Le Peih,Bretagne,Morbihan,Nicole.LePeih@assemblee-nationale.fr,Ensemble pour la République,Morbihan (3e circonscription)
Mme Sandrine Le Feur,Bretagne,Finistère,Sandrine.LeFeur@assemblee-nationale.fr,Ensemble pour la République,Finistère (4e circonscription)
M. Anthony Brosse,Centre-Val de Loire,Loiret,anthony.brosse@assemblee-nationale.fr,Ensemble pour la République,Loiret (5e circonscription)
M. Charles Fournier,Centre-Val de Loire,Indre-et-Loire,charles.fournier@assemblee-nationale.fr,Écologiste et Social,Indre-et-Loire (1re circonscription)
M. Christophe Marion,Centre-Val de Loire,Loir-et-Cher,christophe.marion@assemblee-nationale.fr,Ensemble pour la République,Loir-et-Cher (3e circonscription)
M. Daniel Labaronne,Centre-Val de Loire,Indre-et-Loire,Daniel.Labaronne@assemblee-nationale.fr,Ensemble pour la République,Indre-et-Loire (2e circonscription)
M. Emmanuel Duplessy,Centre-Val de Loire,Loiret,emmanuel.duplessy@assemblee-nationale.fr,Écologiste et Social,Loiret (2e circonscription)
M. François Cormier-Bouligeon,Centre-Val de Loire,Cher,Francois.Cormier-Bouligeon@assemblee-nationale.fr,Ensemble pour la République,Cher (1re circonscription)
M. François Jolivet,Centre-Val de Loire,Indre,Francois.Jolivet@assemblee-nationale.fr,Horizons & Indépendants,Indre (1re circonscription)
M. Guillaume Kasbarian,Centre-Val de Loire,Eure-et-Loir,Guillaume.Kasbarian@assemblee-nationale.fr,Ensemble pour la République,Eure-et-Loir (1re circonscription)
M. Harold Huwart,Centre-Val de Loire,Eure-et-Loir,harold.huwart@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Eure-et-Loir (3e circonscription)
M. Henri Alfandari,Centre-Val de Loire,Indre-et-Loire,henri.alfandari@assemblee-nationale.fr,Horizons & Indépendants,Indre-et-Loire (3e circonscription)
M. Laurent Baumel,Centre-Val de Loire,Indre-et-Loire,laurent.baumel@assemblee-nationale.fr,Socialistes et apparentés,Indre-et-Loire (4e circonscription)
M. Loïc Kervran,Centre-Val de Loire,Cher,Loic.Kervran@assemblee-nationale.fr,Horizons & Indépendants,Cher (3e circonscription)
M. Marc Fesneau,Centre-Val de Loire,Loir-et-Cher,marc.fesneau@assemblee-nationale.fr,Les Démocrates,Loir-et-Cher (1re circonscription)
M. Nicolas Sansu,Centre-Val de Loire,Cher,nicolas.sansu@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Cher (2e circonscription)
M. Philippe Vigier,Centre-Val de Loire,Eure-et-Loir,Philippe.Vigier@assemblee-nationale.fr,Les Démocrates,Eure-et-Loir (4e circonscription)
M. Richard Ramos,Centre-Val de Loire,Loiret,Richard.Ramos@assemblee-nationale.fr,Les Démocrates,Loiret (6e circonscription)
M. Roger Chudeau,Centre-Val de Loire,Loir-et-Cher,roger.chudeau@assemblee-nationale.fr,Rassemblement National,Loir-et-Cher (2e circonscription)
M. Thomas Ménagé,Centre-Val de Loire,Loiret,thomas.menage@assemblee-nationale.fr,Rassemblement National,Loiret (4e circonscription)
Mme Alix Fruchon,Centre-Val de Loire,Indre,alix.fruchon@assemblee-nationale.fr,Droite Républicaine,Indre (2e circonscription)
Mme Christelle Minard,Centre-Val de Loire,Eure-et-Loir,christelle.minard@assemblee-nationale.fr,Droite Républicaine,Eure-et-Loir (2e circonscription)
Mme Constance de Pélichy,Centre-Val de Loire,Loiret,constance.depelichy@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Loiret (3e circonscription)
Mme Marie-Philippe Lubet,Centre-Val de Loire,Loiret,marie-philippe.lubet@assemblee-nationale.fr,Ensemble pour la République,Loiret (1re circonscription)
Mme Sabine Thillaye,Centre-Val de Loire,Indre-et-Loire,Sabine.Thillaye@assemblee-nationale.fr,Les Démocrates,Indre-et-Loire (5e circonscription)
M. François-Xavier Ceccoli,Corse,Haute-Corse,francois-xavier.ceccoli@assemblee-nationale.fr,Droite Républicaine,Haute-Corse (2e circonscription)
M. Laurent Marcangeli,Corse,Corse-du-Sud,laurent.marcangeli@assemblee-nationale.fr,Horizons & Indépendants,Corse-du-Sud (1re circonscription)
M. Michel Castellani,Corse,Haute-Corse,Michel.Castellani@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Haute-Corse (1re circonscription)
M. Paul-André Colombani,Corse,Corse-du-Sud,Paul-Andre.Colombani@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Corse-du-Sud (2e circonscription)
M. Benoît Larrouquis,Français établis hors de France,Français établis hors de France,benoit.larrouquis@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (2e circonscription)
M. Christopher Weissberg,Français établis hors de France,Français établis hors de France,christopher.weissberg@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (1re circonscription)
M. Frédéric Petit,Français établis hors de France,Français établis hors de France,Frederic.Petit@assemblee-nationale.fr,Les Démocrates,Français établis hors de France (7e circonscription)
M. Karim Ben Cheikh,Français établis hors de France,Français établis hors de France,karim.bencheikh@assemblee-nationale.fr,Écologiste et Social,Français établis hors de France (9e circonscription)
M. Marc Ferracci,Français établis hors de France,Français établis hors de France,marc.ferracci@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (6e circonscription)
M. Pieyre-Alexandre Anglade,Français établis hors de France,Français établis hors de France,Pieyre-Alexandre.Anglade@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (4e circonscription)
M. Vincent Caure,Français établis hors de France,Français établis hors de France,vincent.caure@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (3e circonscription)
Mme Amélia Lakrafi,Français établis hors de France,Français établis hors de France,amelia.lakrafi@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (10e circonscription)
Mme Anne Genetet,Français établis hors de France,Français établis hors de France,Anne.Genetet@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (11e circonscription)
Mme Caroline Yadan,Français établis hors de France,Français établis hors de France,caroline.yadan@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (8e circonscription)
Mme Nathalie Coggia,Français établis hors de France,Français établis hors de France,nathalie.coggia@assemblee-nationale.fr,Ensemble pour la République,Français établis hors de France (5e circonscription)
M. Alexandre Loubet,Grand Est,Moselle,alexandre.loubet@assemblee-nationale.fr,Rassemblement National,Moselle (7e circonscription)
M. Anthony Boulogne,Grand Est,Meurthe-et-Moselle,anthony.boulogne@assemblee-nationale.fr,Rassemblement National,Meurthe-et-Moselle (6e circonscription)
M. Belkhir Belhaddad,Grand Est,Moselle,Belkhir.Belhaddad@assemblee-nationale.fr,Socialistes et apparentés,Moselle (1re circonscription)
M. Bruno Fuchs,Grand Est,Haut-Rhin,Bruno.Fuchs@assemblee-nationale.fr,Les Démocrates,Haut-Rhin (6e circonscription)
M. Charles Sitzenstuhl,Grand Est,Bas-Rhin,charles.sitzenstuhl@assemblee-nationale.fr,Ensemble pour la République,Bas-Rhin (5e circonscription)
M. Charles de Courson,Grand Est,Marne,Charles.deCourson@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Marne (5e circonscription)
M. Christophe Bentz,Grand Est,Haute-Marne,christophe.bentz@assemblee-nationale.fr,Rassemblement National,Haute-Marne (1re circonscription)
M. Christophe Naegelen,Grand Est,Vosges,Christophe.Naegelen@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Vosges (3e circonscription)
M. Didier Lemaire,Grand Est,Haut-Rhin,didier.lemaire@assemblee-nationale.fr,Horizons & Indépendants,Haut-Rhin (3e circonscription)
M. Dominique Potier,Grand Est,Meurthe-et-Moselle,Dominique.Potier@assemblee-nationale.fr,Socialistes et apparentés,Meurthe-et-Moselle (5e circonscription)
M. Emmanuel Fernandes,Grand Est,Bas-Rhin,emmanuel.fernandes@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Bas-Rhin (2e circonscription)
M. Frédéric Weber,Grand Est,Meurthe-et-Moselle,frederic.weber@assemblee-nationale.fr,Rassemblement National,Meurthe-et-Moselle (3e circonscription)
M. Gaëtan Dussausaye,Grand Est,Vosges,gaetan.dussausaye@assemblee-nationale.fr,Rassemblement National,Vosges (2e circonscription)
M. Hubert Ott,Grand Est,Haut-Rhin,hubert.ott@assemblee-nationale.fr,Les Démocrates,Haut-Rhin (2e circonscription)
M. Jean-Luc Warsmann,Grand Est,Ardennes,Jean-Luc.Warsmann@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Ardennes (3e circonscription)
M. Jordan Guitton,Grand Est,Aube,jordan.guitton@assemblee-nationale.fr,Rassemblement National,Aube (1re circonscription)
M. Jérôme End,Grand Est,Moselle,jerome.end@assemblee-nationale.fr,Droite Républicaine,Moselle (4e circonscription)
M. Kévin Pfeffer,Grand Est,Moselle,kevin.pfeffer@assemblee-nationale.fr,Rassemblement National,Moselle (6e circonscription)
M. Laurent Jacobelli,Grand Est,Moselle,laurent.jacobelli@assemblee-nationale.fr,Rassemblement National,Moselle (8e circonscription)
M. Lionel Vuibert,Grand Est,Ardennes,lionel.vuibert@assemblee-nationale.fr,Non inscrit,Ardennes (1re circonscription)
M. Ludovic Mendes,Grand Est,Moselle,Ludovic.Mendes@assemblee-nationale.fr,Ensemble pour la République,Moselle (2e circonscription)
M. Maxime Amblard,Grand Est,Meuse,maxime.amblard@assemblee-nationale.fr,Rassemblement National,Meuse (1re circonscription)
